tagId,parentId,name,code,isLeaf
1017,1004,传统基金,80713,1
1018,1004,直销银行,80714,1
1019,1004,互联网证券,80715,1
1020,1004,银行信用卡,80716,1
1021,1004,互联网保险,80717,1
1056,1036,博物馆,4012501,1
1057,1036,动物园,4012502,1
1058,1036,风景区,4012503,1
1059,1036,公园,4012504,1
1060,1036,美术馆,4012505,1
1061,1036,名胜古迹,4012506,1
1062,1036,游乐园,4012507,1
1063,1036,自然保护区,4012508,1
1042,1041,公寓式酒店,4012601,1
1043,1041,快捷酒店,4012602,1
1044,1041,星级酒店,4012603,1
1079,1078,青年大学生,80901,1
1080,1078,小小太阳,80902,1
1081,1078,小太阳,80903,1
1082,1081,有7-12岁孩童家庭,8090301,1
1,NULL,TalkingData,NULL,0
